game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_16_ATL_CAR,18.0,7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.8796654746880944,,,Touchdown,,1
2016_16_ATL_CAR,20.0,10,0.3,0.4,0.3,-0.13478901146445432,,,Punt,,1
2016_16_ATL_CAR,22.0,4,0.5,0.25,0.25,0.0015571645635652498,,,Field goal,,0
2016_17_NO_ATL,2.0,5,0.0,0.8,1.0,0.9612757489438393,,,Touchdown,,1
2016_17_NO_ATL,4.0,3,0.3333333333333333,0.0,0.6666666666666666,1.808410191424073,,,Touchdown,,1
2016_17_NO_ATL,6.0,9,0.0,0.4,0.6,0.5407720661898723,,,Touchdown,,1
2016_17_NO_ATL,8.0,12,0.4166666666666667,0.4166666666666667,0.5,0.47681782130304295,,,Touchdown,,1
2016_17_NO_ATL,10.0,11,0.2727272727272727,0.5454545454545454,0.6363636363636364,0.5383180870136601,,,Touchdown,,1
2016_17_NO_ATL,12.0,5,0.2,0.4,0.4,-0.49890424935147204,,,Punt,,2
2016_17_NO_ATL,14.0,14,0.21428571428571427,0.7142857142857143,0.5,0.2319397931652414,,,Field goal,,1
2016_17_NO_ATL,16.0,10,0.18181818181818182,0.36363636363636365,0.2727272727272727,-0.23436772057109262,,,Punt,,1
2016_17_NO_ATL,18.0,8,0.5,0.125,0.25,-0.3764567686594091,,,Punt,,0
2016_17_NO_ATL,20.0,4,0.5,0.25,0.0,-0.9556775813689442,,,Punt,,0
2016_17_NO_ATL,22.0,1,0.0,0.0,0.0,-2.8259270444978,,,Touchdown,,2
2016_17_NO_ATL,23.0,2,0.3333333333333333,0.0,0.5,-0.10067813979306332,,,End of half,,0
2016_19_SEA_ATL,2.0,16,0.35294117647058826,0.4117647058823529,0.6470588235294118,0.31551874890209275,,,Touchdown,,1
2016_19_SEA_ATL,4.0,5,0.2,0.4,0.2,-0.3035638212226316,,,Punt,,2
2016_19_SEA_ATL,6.0,6,0.16666666666666666,0.5,0.5,0.22836530208587655,,,Field goal,,1
2016_19_SEA_ATL,8.0,10,0.0,0.9,0.8,0.7293151843770991,,,Touchdown,,1
2016_19_SEA_ATL,10.0,15,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.3494950881345588,,,Touchdown,,1
2016_19_SEA_ATL,12.0,8,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.14522199270625974,,,Field goal,,2
2016_19_SEA_ATL,14.0,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,-0.3978093100179513,,,Punt,,2
2016_19_SEA_ATL,16.0,9,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.4374882009904445,,,Touchdown,,1
2016_19_SEA_ATL,18.0,6,0.3333333333333333,0.16666666666666666,0.3333333333333333,-0.35611204461504914,,,Punt,,0
2016_19_SEA_ATL,20.0,5,0.6666666666666666,0.0,0.4,-0.6521427923483615,,,End of half,,0
2016_20_GB_ATL,1.0,15,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.34949508813455876,,,Touchdown,,1
2016_20_GB_ATL,3.0,14,0.21428571428571427,0.5714285714285714,0.5,0.06866420722300479,,,Field goal,,1
2016_20_GB_ATL,5.0,10,0.3,0.6,0.6,0.5680584713061916,,,Touchdown,,1
2016_20_GB_ATL,7.0,5,0.4,0.4,0.2,-0.2619116633199158,,,Punt,,0
2016_20_GB_ATL,9.0,10,0.1,0.8,0.6,0.55285749270717,,,Touchdown,,1
2016_20_GB_ATL,12.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.7480191803194671,,,Touchdown,,1
2016_20_GB_ATL,14.0,13,0.46153846153846156,0.15384615384615385,0.5384615384615384,0.34056228404217226,,,Touchdown,,1
2016_20_GB_ATL,16.0,9,0.4,0.3,0.6,0.5443696884382165,,,Touchdown,,1
2016_20_GB_ATL,18.0,8,0.625,0.0,0.25,-0.17720203049248084,50.0,,Punt,,0
2016_21_NE_ATL,2.0,5,0.4,0.4,0.4,0.17467273520305734,,,Punt,,0
2016_21_NE_ATL,4.0,6,0.5,0.3333333333333333,0.5,-0.05851003170634291,,,Punt,,0
2016_21_NE_ATL,6.0,6,0.5,0.3333333333333333,1.0,0.9844330247298076,,,Touchdown,,1
2016_21_NE_ATL,8.0,7,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.7547554434090534,,,Touchdown,,1
2016_21_NE_ATL,11.0,1,0.0,0.0,0.0,-0.0285784814332146,,,End of half,,0
2016_21_NE_ATL,12.0,5,0.2,0.4,0.2,-0.6101657575927674,,,Punt,,2
2016_21_NE_ATL,14.0,10,0.4,0.4,0.8,0.6992258877936119,,,Touchdown,,1
2016_21_NE_ATL,16.0,7,0.0,0.375,0.375,-0.1385747673339218,,,Punt,,2
2016_21_NE_ATL,18.0,4,0.5,0.25,0.5,-1.347052181023173,,,Turnover,,0
2016_21_NE_ATL,20.0,9,0.2222222222222222,0.4444444444444444,0.2222222222222222,-0.12960367900733266,,,Punt,,2
2016_21_NE_ATL,22.0,6,0.0,0.6666666666666666,0.16666666666666666,-0.09092892135474061,,,Punt,,2
